MATH WORDS	Meaning Clarifications (word cullers)	Publisher-Identified vocabulary?       (SLF)	Part of speech (SLF)	Definition (Layla)	Source of definition (Layla) [NOTE: Frequently we used the definition for kids or for ELs from MW online]	Word form used to generate the stems (Xing)	Stem or stems used to generate the computer version of the sub-bank (Xing)	POSSIBLE PARTS OF SPEECH from WordNet (Xing)	"POLYSEMY COUNT from WordNet, according to different part of speech (Xing)"	MATH TEXTS GRADE LEVEL(S) (Xing)	MATH DISPERSION # math sources containing this word (Xing)	CONCRETENESS VS. ABSTRACTION from WordNet (Xing)	WORD FREQUENCY from Zeno corpus (Kelly)	MORPHOLOGICAL FAMILY FREQUENCY from Zeno corpus (Xing)	In Coxhead List?  2=yes--head word; 1=variant; 0=no (Katherine)	"When this word is a variant of a Coxhead head word, what's the head word? (Katherine)"	SPANISH-ENGLISH WORD RELATIONSHIP  [borrowed; cognate; false cognate; not cognate]   (Alyssa)	The Spanish cognate word (Alyssa)	Is this a math content word?  [0=no; 1=yes] (Zoe)	"Subject and grade for each occurrence of the word (either a math content word or a word in AWL) in the CA Common Core math standards  (excludes discussions, overviews, & maybe calculus standards?).  8 algebra 1 standards appear at the end of the lists.                                             [grade.standard; 8A (8th grade algebra 1).standard; or HS (high school).standard]        (Zoe)"	Subject and grade for each occurrence of the word (either a math content word or a word in AWL) in the CA Common Core ELA standards (Zoe)	"When the word (either a math content word or a word in AWL) is in a 4th grade standard, list subject and specific CA Common Core standard designation (Zoe)"	"When the word is not verbatim in the CA CC standards but IS in a 4th grade content domain in the standards, list subject and specific standard designation"	"When the word (either a math content word or a word in AWL) is in a 5th grade standard, list subject and specific CA Common Core standard designation (Zoe)"	"When the word is not verbatim in the CA CC standards but IS in a 5th grade content domain in the standards, list subject and specific standard designation "		COMBINED SCIENCE & MATH DRAFT GRADE LEVEL(S) (Xing)	COMBINED SCIENCE & MATH DRAFT SUBJECT DISPERSION       A list of all the subject sub-banks with this word (Xing)	COMBINED SCIENCE & MATH DRAFT SUBJECT DISPERSION Number of subject sub-banks that the word appears in (Xing)	COMBINED SCIENCE & MATH DRAFT SOURCE DISPERSION Total number of sources the word appears in (Xing)
tally	noun--the count of something	no	noun	"a recorded count of scores, votes, etc."	MW online	tally	talli	noun & verb	3 & 4	4	1	abstract	0.4713	158.2151	0		notcognate		0								4	math	1	1
tax	noun--sales tax	no	noun	a charge usually of money imposed by authority on persons or property for public purposes	MW online	tax	tax	noun & verb	1 & 4	4 & 5	3	abstract	49	98.0239	0		notcognate		0								4 & 5	math	1	3
taxes	noun plural	no	noun	a charge usually of money imposed by authority on persons or property for public purposes  (plural)	MW online	tax	tax	noun & verb	1 & 4	5	1	abstract	45	98.0239	0		notcognate		0								5	math	1	1
teaspoon		yes	noun	a customary unit of capacity equal to 1/3 tablespoon	5th math psf	teaspoon	teaspoon	noun	2	4 & 5	2	concrete	0.7598	1.7822	0		notcognate		0								4 & 5	math	1	2
teaspoons		yes	noun	a customary unit of capacity equal to 1/3 tablespoon (plural)	5th math psf	teaspoon	teaspoon	noun	2	5	1	concrete	0.3946	1.7822	0		notcognate		0								5	math	1	1
technology		no	noun	"the use of science in industry, engineering, etc., to invent useful things or to solve problems"	MW online	technology	technolog	noun	2	5	2	abstract	42	54.0464	2		cognate	tecnología	0	"6.G ,7.G ,8.EE ,HS.A-REI ,HS.F-IF ,HS.F-LE ,HS.F-TF ,HS.S-ID ,8A.A ,8A.F "	"Grade 3 Writing Standards,Grade 4 Writing Standards,Grade 5 Writing Standards,Grade 6 Writing Standards,Grade 7 Writing Standards,Grade 8 Writing Standards,Grades 11-12 Writing Standards,Grades 6-8 Writing Standards for Literacy in History/Social Studies, Science, and Technical Subjects,Grades 9-10 Writing Standards for Literacy in History/Social Studies, Science, and Technical Subjects,Grades 11-12 Writing Standards for Literacy in History/Social Studies, Science, and Technical Subjects"	 ELA:Grade 4 Writing - Production and Distribution of Writing (6)		ELA: Grade 5 Writing Standards - Production and Distribution of Writing (6)			4 & 5	math & science	2	5
telescopes		no	noun	a device that is shaped like a long tube that you look through in order to see things that are far away (plural)	MW online	telescope	telescop	noun & verb	1 & 2	5	1	concrete	7	23.4344	0		cognate	telescopios	0								5	math & science	2	3
tenth		yes	noun	one out of ten equal parts of a whole	5th math psf	tenth	tenth	noun & adjective	2 & 1	4 & 5	2	abstract	7	7.7401	0		notcognate		1	HS.S-C 	NOT PRESENT						4 & 5	math	1	2
tenths		yes	noun	one out of ten equal parts of a whole  (plural)	5th math psf	tenth	tenth	noun & adjective	2 & 1	4 & 5	3	abstract	0.7401	7.7401	0		notcognate		1	NOT PRESENT	NOT PRESENT						4 & 5	math	1	3
thermometer		no	noun	an instrument used for measuring temperature	MW online	thermometer	thermomet	noun	1	4 & 5	2	concrete	11	13.065	0		cognate	termómetro	1	NOT PRESENT	NOT PRESENT						4 & 5	math & science	2	3
third		no	adjective	being next after the second in place or time	MW online	third	third	noun & adjective & adverb	6 & 2 & 1	4	1	abstract	156	159.3253	0		notcognate		0								4	math	1	1
thirds		no	noun	one of three equal parts of something (plural)	MW online	third	third	noun & adjective & adverb	6 & 2 & 1	4	2	abstract	3	159.3253	0		notcognate		0								4	math	1	2
thousands		no	noun	"an amount that is more than 2,000"	MW online	thousand	thousand	noun & adjective	1 & 1	4	1	abstract	134	245	0		notcognate		1	3.NBT 	NOT PRESENT						4	math	1	1
thousandth		yes	noun	"one out of 1,000 equal parts of a whole"	5th math psf	thousandth	thousandth	noun & adjective	2 & 1	5	1	abstract	0.5549	0.7728	0		notcognate		1	NOT PRESENT	NOT PRESENT						5	math	1	1
thousandths		yes	noun	"some out of 1,000 equal parts of a whole  (plural)"	5th math psf	thousandth	thousandth	noun & adjective	2 & 1	5	2	abstract	0.2179	0.7728	0		notcognate		1	5.NBT 	NOT PRESENT			Math: 5.NBT - Understand the place value system (3)			5	math	1	2
tiles		no	noun	"a usually flat piece of hard clay, stone, or other material that is used for covering walls, floors, etc.  (plural)"	MW online	tile	tile	noun & verb	2 & 1	4	1	concrete	3	4.8995	0		notcognate		1	NOT PRESENT	NOT PRESENT						4	math	1	1
tiling		no	verb	to cover something with tiles	MW online	tiling	tile	noun	1	4	1	abstract	0.0673	4.8995	0		notcognate		1	"3.MD ,5.NF ,HS.F-BF "	NOT PRESENT			Math: 5.NF - Apply and extend previous understandings of multiplication and division to multiply and divide fractions (4)			4	math	1	1
ton	weight measurement	yes	noun	"a customary unit used to measure weight (1 ton = 2,000 pounds)"	4th math hm	ton	ton	noun	2	4 & 5	3	abstract	5	29	0		cognate	tonelada	1	NOT PRESENT	NOT PRESENT						4 & 5	math	1	3
tons	weight measurement	yes	noun	"a customary unit used to measure weight (1 ton = 2,000 pounds)  (plural)"	4th math hm	tons	ton	noun	1	4	2	abstract	24	29	0		cognate	toneladas	1	NOT PRESENT	NOT PRESENT						4	math & science	2	4
tornado		no	noun	a violent destructive storm in which powerful winds move around a central point	MW online	tornado	tornado	noun	2	4	1	concrete	4	6.0795	0		cognate	tornado	0								4 & 5	math & science	2	3
tornadoes	"variant of ""tornados"""	no	noun	a violent destructive storm in which powerful winds move around a central point (plural)	MW online	tornado	tornado	noun	2	4	1	concrete	2	6.0795	0		cognate	tornados	0								4 & 5	math & science	2	3
tornados	"variant of ""tornadoes"""	no	noun	a violent destructive storm in which powerful winds move around a central point (plural)	MW online	tornado	tornado	noun	2	4	1	concrete	0.0795	6.0795	0		cognate	tornados	0								4 & 5	math & science	2	2
tortoise		no	noun	a kind of turtle that lives on land	MW online	tortoise	tortois	noun	1	4	2	concrete	2	2.8687	0		cognate	tortuga	0								4	math & science	2	3
tournament		no	noun	a sports competition or series of contests that involves many players or teams and usually continues for a few days	MW online	tournament	tournament	noun	2	4 & 5	2	abstract	4	4.8657	0		cognate	torneo	0								4 & 5	math	1	2
trading	noun	no	noun	the act or process of buying and selling something (such as stocks or bonds)	MW online	trading	trade	noun	1	4 & 5	2	abstract	26	185.0326	0		notcognate		1	NOT PRESENT	NOT PRESENT						4 & 5	math	1	2
trading	adjective--like in trading cards or trading post	no	adjective	"carrying on trade or commerce; engaged in trade; as, a trading company"	Webster's Online Dictionary	trading	trade	noun	1	4 & 5	2	abstract	26	185.0326	0		notcognate		1	NOT PRESENT	NOT PRESENT						4 & 5	math	1	2
translate		no	verb	to change from one language or set of symbols into another	MW online	translate	translat	verb	10	5	1	n/a	3	15.8408	0		notcognate		1	"HS.A-SSE ,HS.G-GE "	Grades 9-10 Reading Standards for Literacy in Science and Technical Subjects						5	math	1	1
translated		no	verb	to change from one language or set of symbols into another	MW online	translate	translat	verb	10	5	1	n/a	6	15.8408	0		notcognate		1	NOT PRESENT	NOT PRESENT						5	math	1	1
translating		no	verb	to change from one language or set of symbols into another	MW online	translate	translat	verb	10	4 & 5	2	n/a	1	15.8408	0		notcognate		1	NOT PRESENT	NOT PRESENT						4 & 5	math	1	2
translation		yes	noun	"a change in the position of a figure that moves it up, down, or sideways"	4th math psf	translation	translat	noun	7	4	1	abstract	3	15.8408	0		notcognate		1	HS.G-CO 	NOT PRESENT						4	math	1	1
translations		yes	noun	"a change in the position of a figure that moves it up, down, or sideways (plural)"	4th math psf	translation	translat	noun	7	4	1	abstract	1	15.8408	0		notcognate		1	"8.G ,HS.G-CO ,8A.G "	NOT PRESENT						4	math	1	1
trapezoid		yes	noun	a quadrilateral with exactly one pair of parallel sides	4th math hm	trapezoid	trapezoid	noun	2	4 & 5	4	abstract	0.0604	0.093	0		cognate	trapezoide	1	"4.G ,HS.G-CO "	NOT PRESENT	"Math:4.G Draw and identify lines and angles, and classify shapes by properties of their lines and angles (2)"					4 & 5	math	1	4
trapezoids		yes	noun	a quadrilateral with exactly one pair of parallel sides (plural)	4th math hm	trapezoid	trapezoid	noun	2	5	1	abstract	0.0326	0.093	0		cognate	trapezoides	1	"1.G ,5.G "	NOT PRESENT			Math: 5.G - Classify two-dimensional figures into categories based on their properties (3.1)			5	math	1	1
trend	a pattern in the data	yes	noun	"a pattern in the data on a line graph, shown by an increase or decrease"	4th math psf	trend	trend	noun & verb	4 & 1	4 & 5	2	concrete	11	18.0717	2		notcognate		1	NOT PRESENT	NOT PRESENT						4 & 5	math	1	2
triangle		yes	noun	a three sided polygon	4th math hm	triangle	triangl	noun	5	4 & 5	4	abstract	8	9	0		cognate	triángulo	1	"5.G ,6.G ,7.G ,8.G ,HS.G-CO ,HS.G-SRT ,HS.G-C ,8A.G "	NOT PRESENT			"Math: 5.G - Classify two-dimensional figures into categories based on their properties (5),5.G - Classify two-dimensional figures into categories based on their properties (6)"			4 & 5	math	1	4
triangular		yes	adjective	"of, relating to, or having that form of a triangle"	MW Online	triangular	triangular	adjective	3	4 & 5	4	n/a	3	3	0		cognate	triangular	1	NOT PRESENT	NOT PRESENT						4 & 5	math	1	4
triathalon	"variant of ""triathlon"""	no	noun	"a long distance race that has three parts (such as swimming, bicycling, and running)"	MW online	triathalon	triathalon	n/a	n/a	5	1	n/a	0	n/a	0		cognate	triatlón	0								5	math	1	1
triathlon	"variant of ""triathalon"""	no	noun	"a long distance race that has three parts (such as swimming, bicycling, and running)"	MW online	triathlon	triathlon	n/a	n/a	4	1	n/a	0.0163	n/a	0		cognate	triatlón	0								4	math	1	1
triathlons	"variant of ""triathalons"""	no	noun	"a long distance race that has three parts (such as swimming, bicycling, and running)  (plural)"	MW online	triathlons	triathlon	n/a	n/a	4	1	n/a	0	n/a	0		cognate	triatlones	0								4	math	1	1
unamplified		no	adjective	"without being increased in size, volume, or significance"	Webster's Online Dictionary	unamplified	unamplifi	n/a	n/a	5	1	n/a	0	n/a	0		cognate	sin amplificar	0								5	math	1	1
underestimate		yes	noun	the result of using numbers less than the actual numbers to estimate a sum or product.  The estimate is less than the actual answer.	5th math psf	underestimate	underestim	noun & verb	1 & 3	4 & 5	2	abstract	0.6772	1.3047	1	estimate	cognate	subestimar	1	NOT PRESENT	NOT PRESENT						4 & 5	math	1	2
unequal		yes	adjective	"not of the same measurement, quantity, or number as another"	MW online	unequal	unequ	adjective	2	4	1	n/a	4	4.7359	0		cognate	desigual	1	NOT PRESENT	NOT PRESENT						4	math	1	1
unit	as in units of measure	no	noun	"a particular amount of length, time, money, etc., that is used as a standard for counting or measuring"	MW online	unit	unit	noun	6	4 & 5	3	abstract	86	607.0639	0		cognate	unidad	1	"1.MD ,2.MD ,3.MD ,3.G ,4.NF ,4.MD ,5.NF ,5.MD ,6.R ,6.NS ,6.G ,7.R ,8.EE ,HS.F-BF ,HS.F-LE ,HS.F-TF ,8A.A "	NOT PRESENT	"Math:4.MD Solve problems involving measurement and conversion of measurements from a larger unit to a smaller unit (1),4.MD Solve problems involving measurement and conversion of measurements from a larger unit to a smaller unit (2),4.MD Represent and interpret data (4)"		"Math: 5.NF - Apply and extend previous understandings of multiplication and division to multiply and divide fractions (4),5.NF - Apply and extend previous understandings of multiplication and division to multiply and divide fractions (7),5.MD - Represent and interpret data (2), 5.MD - understand concepts of volume and relate volume to multiplication and to addition (3), 5.MD - understand concepts of volume and relate volume to multiplication and to addition (4), 5.MD - understand concepts of volume and relate volume to multiplication and to addition (5)"			4 & 5	math & science	2	4
units	as in units of measure	no	noun	"a particular amount of length, time, money, etc., that is used as a standard for counting or measuring (plural)"	MW online	unit	unit	noun	6	4	2	abstract	57	607.0639	0		cognate	unidades	1	"1.MD ,2.MD ,3.MD ,4.MD ,5.MD ,6.R ,6.S ,7.R ,8.EE ,HS.N-Q ,8A.A "	NOT PRESENT	Math:4.MD Solve problems involving measurement and conversion of measurements from a larger unit to a smaller unit (1)		"Math: 5.MD - Convert like measurement units within a given measurement system (1), 5.MD - understand concepts of volume and relate volume to multiplication and to addition (3), 5.MD - understand concepts of volume and relate volume to multiplication and to addition (4)"			4	math & science	2	3
unlabeled		no	adjective	lacking a label or tag	Webster's Online Dictionary	unlabeled	unlabel	adjective	1	5	1	n/a	0.0481	45.7158	0		notcognate		1	NOT PRESENT	NOT PRESENT						5	math	1	1
unlike	adjective--not the same	yes	adjective	not equal in amount; or not like; dissimilar; diverse; having no resemblance	Webster's Online Dictionary	unlike	unlik	adjective	2	4 & 5	3	n/a	44	53.0282	0		notcognate		1	"4.NF ,5.NF ,HS.N-VM ,HS.F-BF "	NOT PRESENT	Math:4.NF footnotes		"Math: 5.NF - Use equivalent fractions as a strategy to add and subtract fractions (1),5.NF - Use equivalent fractions as a strategy to add and subtract fractions (2)"			4 & 5	math	1	3
unlikely	improbable	yes	adjective	describing a prediction that a particular event of a probability experiment has a greater chance of not happening than it does of happening	4th math hm	unlikely	unlik	adjective	3	4	2	n/a	9	53.0282	0		notcognate		1	7.S 	NOT PRESENT						4	math	1	2
unreasonable		no	adjective	"not fair, sensible, or appropriate: not reasonable"	MW online	unreasonable	unreason	adjective	2	5	1	n/a	3	325.1924	0		cognate	irrazonable	1	NOT PRESENT	NOT PRESENT						5	math	1	1
urban		no	adjective	of or relating to cities and the people who live in them	MW online	urban	urban	adjective	2	5	2	n/a	26	27.6818	0		cognate	urbano	0								5	math	1	2
value	numerical quantity	yes	noun	a numerical quantity that is assigned or is determined by calculation or measurement	MW online	value	valu	noun & verb	6 & 5	4 & 5	4	abstract	91	149.3356	0		cognate	valor	1	" K.NBT ,1.NBT ,2.NBT ,3.NBT ,4.NBT ,5.NBT ,6.NS ,6.EE ,7.NS ,8.NS ,HS.N-VM ,HS.A-SSE ,HS.A-REI ,HS.F-IF ,HS.S-MD ,8A.A ,8A.F ,8A.CVA END"	NOT PRESENT	"Math: 4.NBT Generalize place value understanding for multi-digit whole numbers (1),Generalize place value understanding for multi-digit whole numbers (3), 4.NBT Generalize place value understanding for multi-digit whole numbers (5), 4.NBT Use place value understanding and properties of operations to perform multi-digit arithmetic (6)"		"Math: 5.NBT - Understand the place value system (4),5.NBT - Perform operations with multi-digit whole numbers and with decimals to hundredths (6),5.NBT - Perform operations with multi-digit whole numbers and with decimals to hundredths (7)"			4 & 5	math	1	4
values	numerical quantities	no	noun	a numerical quantity that is assigned or is determined by calculation or measurement (plural)	MW online	values	valu	noun	1	4	2	abstract	50	149.3356	0		cognate	valores	1	"5.G ,6.R ,6.NS ,6.EE ,6.S ,HS.A-SSE ,HS.A-REI ,HS.F-IF ,HS.F-TF ,HS.S-MD ,8A.NQ ,8A.F "	"Grades 11-12 Writing Standards,Grades 11-12 Writing Standards for Literacy in History/Social Studies, Science, and Technical Subjects"			Math: 5.G - Graph points on the coordinate plane to solve real-world and mathematical problems (2)			4	math	1	2
variable	noun--math term	yes	noun	a letter or a symbol that represents a number in an algebraic expression	4th math hm	variable	variabl	noun & adjective	4 & 3	4 & 5	4	concrete	12	22	1	vary	cognate	variable	1	"6.EE ,8.EE ,HS.A-REI ,HS.S-ID ,HS.S-MD ,8A.A "	NOT PRESENT						4 & 5	math & science	2	7
variables	noun plural--math term	yes	noun	a letter or a symbol that represents a number in an algebraic expression (plural)	4th math hm	variable	variabl	noun & adjective	4 & 3	4 & 5	3	concrete	9	22	1	vary	cognate	variables	1	"6.EE ,7.EE ,8.EE ,8.S ,HS.A-REI ,HS.S-ID ,8A.A ,8A.S "	NOT PRESENT						4 & 5	math & science	2	6
variety		no	noun	a number or collection of different things or people	MW online	variety	varieti	noun	6	4 & 5	2	abstract	82	90.0026	0		cognate	variedad	1	HS.G-CO 	"Kindergarten Writing Standards,Grade 1 Writing Standards,Grade 2 Writing Standards,Grade 4 Writing Standards,Grade 5 Writing Standards,Grade 5 Speaking and Listening Standards,Grade 6 Writing Standards,Grade 6 Speaking and Listening Standards,Grade 6 Language Standards,Grade 7 Writing Standards,Grade 7 Speaking and Listening Standards,Grade 8 Writing Standards,Grade 8 Speaking and Listening Standards,Grades 9-10 Speaking and Listening,Grades 9-10 Language Standards,Grades 11-12 Writing Standards,Grades 11-12 Speaking and Listening Standards"	 ELA:Grade 4 Writing Standards - Text Types and Purposes (3)		"ELA: Grade 5 Writing Standards - Text Types and Purposes (3),Grade 5 Speaking and Listening Standards-  Presentation of Knowledge and Ideas (6)"			4 & 5	math & science	2	3
verify	to check	no	verb	"to prove, show, find out, or state that (something) is true or correct"	MW online	verify	verifi	verb	4	4 & 5	4	n/a	1	3.0665	0		cognate	verificar	1	"2.MD ,8.G ,HS.G-SRT ,8A.G "	"Grade 6 Language Standards,Grade 7 Language Standards,Grade 8 Language Standards,Grades 9-10 Speaking and Listening,Grades 9-10 Language Standards,Grades 11-12 Speaking and Listening Standards"						4 & 5	math	1	4
vertex		yes	noun	a. the common endpoint of the two rays in an angle; b. the point at which three or more edges meet in a solid figure; c. the point of a cone	5th math psf	vertex	vertex	noun	2	4 & 5	4	abstract	0.0085	0.0113	0		cognate	vértice	1	HS.G-SRT 	NOT PRESENT						4 & 5	math	1	4
